objectID,metroStatArea,State,latitude,longitude,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2001-2018,2002%,2003%,2004%,2005%,2006%,2007%,2008%,2009%,2010%,2011%,2012%,2013%,2014%,2015%,2016%,2017%,2018%,Total%,2001-2018%
8,Chicago,IL,41.883229,-87.632398,514981994,517294621,523312090,536662096,548632398,557386178,564120391,548672390,530830225,539704813,547499300,561588192,566499499,576000060,589049966,594060750,600421994,611591128,96609134,0.449069487,1.163257601,2.551060114,2.230510053,1.595563811,1.20817725,-2.738422728,-3.251879505,1.671831705,1.444212987,2.573316897,0.874538865,1.677064325,2.265608445,0.850655172,1.070806984,1.860214001,17.49558547,18.75971104
32,Minneapolis,MN,44.977479,-93.264346,175751740,178491909,187862821,195611956,201529145,198332032,199800895,200019727,192310093,197700163,202178526,205223887,209637747,218244103,222125886,226438178,231078542,237140794,61389054,1.55911344,5.250048617,4.124890151,3.02496285,-1.586427115,0.740608053,0.109525035,-3.854436818,2.802801411,2.265229796,1.506273223,2.150753533,4.105346543,1.778642789,1.94137301,2.04928517,2.623459516,30.59144921,34.92941464
24,Indianapolis,IN,39.76845,-86.156212,95539703,96640464,99602341,104989839,105836916,107539834,111595020,114223241,110425107,113733987,113353413,111780746,114939318,119081155,117079734,119824872,122143721,124667768,29128065,1.152150326,3.064841452,5.409007405,0.806818077,1.60900191,3.770868755,2.355141833,-3.325184933,2.996492455,-0.334617655,-1.387401542,2.825685203,3.603498848,-1.680720178,2.34467393,1.935198395,2.066456613,27.2119109,30.48791663
26,Kansas City,MO,39.099792,-94.578559,92103394,94209025,95591146,97181149,100016419,101726045,104543373,107376011,104090591,104035356,104196076,107631274,109368962,112256998,115123305,115841254,117992341,120352988,28249594,2.286160052,1.467079189,1.663337104,2.917510267,1.709345343,2.769524756,2.709533774,-3.059733705,-0.053064354,0.154485942,3.296859279,1.614482423,2.640635832,2.553343712,0.623634806,1.856926549,2.000678163,27.15073913,30.67161021
11,Columbus,OH,39.962649,-82.996216,86442566,87622244,89607777,92396749,95258648,93592348,94430052,94161460,90978156,93662870,97306672,100403337,102973266,106185217,108502678,109753062,112512486,114675302,28232736,1.364695722,2.26601478,3.112421816,3.097402269,-1.749237508,0.895056079,-0.284434875,-3.380686748,2.950943521,3.890337761,3.182376847,2.559605165,3.11920863,2.182470466,1.152399206,2.514211403,1.922289763,28.7950743,32.6606871
9,Cincinnati,OH,39.104427,-84.513808,101285472,104341674,106058078,107597310,109962093,109335781,110020267,110334271,105709972,109064346,112511569,112553108,113228898,115447868,117808842,120668471,122867631,124948052,23662580,3.017413988,1.644984151,1.451310479,2.197808663,-0.569570825,0.626040253,0.285405597,-4.191171934,3.17318597,3.160724037,0.036919759,0.600418782,1.959720565,2.045056389,2.427346667,1.822481036,1.693221382,21.38129496,23.36226463
43,St. Louis,MO,38.630276,-90.200309,131949609,133193837,136758174,138778654,140823020,140681137,141907243,145794054,143192798,145227408,145570801,147318294,147468476,147739270,147639705,145890916,147633364,152060042,20110433,0.942956944,2.676052496,1.477410776,1.473112717,-0.100752704,0.87154968,2.738979997,-1.784198963,1.4208885,0.236451924,1.200441976,0.10194389,0.183628398,-0.067392373,-1.184497761,1.194349894,2.998426562,14.37935195,15.24099476
15,Detroit,MI,42.332916,-83.047853,220452238,225265918,230033047,228787828,232862909,224387462,222776109,208384341,184974984,197274436,205487945,212159700,215851242,219559892,224508971,230047866,233241705,238679503,18227265,2.183547803,2.116222925,-0.541321787,1.781161627,-3.639672388,-0.71811187,-6.460193629,-11.23374093,6.649251555,4.163493845,3.246786569,1.739982664,1.718150874,2.254090651,2.467115223,1.388336721,2.331400381,9.446500239,8.268124273
33,Omaha,NE,41.258652,-95.937195,38377052,39555748,41244954,43132699,44452042,45354403,46435373,46355953,46607939,48022260,49868339,50295650,50705976,52593479,54340287,54115141,55649803,56187854,17810802,3.071356289,4.27044383,4.576911396,3.058800007,2.029965238,2.383384916,-0.171033406,0.543589299,3.034506632,3.844215162,0.856878349,0.815828009,3.722446837,3.321339514,-0.414326115,2.835919803,0.966851581,38.74707734,46.4100317
30,Madison,WI,43.073926,-89.385244,30023636,30985115,31921628,33277797,34652603,34717912,35479516,35041727,34748155,36007275,37312845,38605774,39560632,41890970,43552448,45022825,45492200,46529232,16505596,3.20240693,3.022460946,4.248433069,4.131301119,0.188467804,2.193691833,-1.23392044,-0.837778344,3.623559294,3.625850609,3.465104309,2.473355411,5.890547957,3.966196056,3.376106436,1.042526763,2.279581994,44.65789175,54.9753401
14,Des Moines,IA,41.588822,-93.620309,28507657,28946212,31432026,34341388,36771606,35601256,39114874,35154985,34275281,34990053,34922844,37455455,35716360,40301568,43066102,44212889,43692327,44481448,15973791,1.538376163,8.587700525,9.256043502,7.07664466,-3.18275465,9.869365283,-10.12374219,-2.502359196,2.085386258,-0.192080304,7.252018192,-4.643102053,12.83783678,6.859618961,2.662853025,-1.177398745,1.806085998,48.01049221,56.03333518
31,Milwaukee,WI,43.041072,-87.909421,78253636,78831229,81261260,82925703,85511327,86577325,87001246,85849422,82950611,84669359,86197311,86516309,86880190,87210555,88418297,89207672,90473698,92558816,14305180,0.738103722,3.082574039,2.048261373,3.1180007,1.246616135,0.489644373,-1.323916671,-3.376622617,2.072013671,1.804610331,0.37007883,0.420592376,0.380253542,1.384857601,0.892773359,1.419189596,2.304667595,17.07169796,18.28053076
10,Cleveland,OH,41.505546,-81.6915,105546960,107849789,110352564,112858462,115462349,113473596,113580402,113955966,106092046,107166841,109437899,109967066,110283260,114110316,115773490,115847427,117136194,119327107,13780147,2.181805142,2.320611865,2.270810853,2.307214677,-1.72242555,0.094124099,0.330659157,-6.900840979,1.013077832,2.119179756,0.483531761,0.287535179,3.470205723,1.457514148,0.063863498,1.112469248,1.870397975,12.75973438,13.05593927
22,Grand Rapids,MI,42.965446,-85.670209,42868569,44224515,45331803,46271220,47304757,47057640,46885890,45674659,42871347,44769622,45773167,46911862,47444715,49179798,51259319,52026097,53368797,55253905,12385336,3.163030704,2.503787775,2.072313338,2.233649772,-0.522393551,-0.364977929,-2.583359301,-6.137565253,4.427840814,2.241575772,2.487691096,1.135859839,3.657062752,4.228404924,1.495880193,2.58082016,3.532228767,26.15184987,28.89141459
38,Sioux Falls,SD,43.488765,-96.743185,9028409,10544827,10530310,12752638,13157358,14255955,14386571,14994704,15126028,14720192,15742576,17007019,16513945,17037852,17575420,17544959,17267303,17273286,8244877,16.79607116,-0.137669399,21.10410805,3.173617882,8.3496778,0.916220625,4.227087886,0.87580255,-2.683030866,6.945452885,8.031995526,-2.89923825,3.172512685,3.155139509,-0.173315915,-1.582540033,0.034649302,69.30654139,91.32148311
46,Wichita,KS,37.686024,-97.335571,25970694,25617597,25109768,25006322,25347660,27951697,30054183,29769056,26451160,27680811,28291530,28191554,26586255,28150426,29489153,31238678,31780917,32832296,6861602,-1.359597861,-1.982344402,-0.411975133,1.365006817,10.27328361,7.521854576,-0.948709868,-11.14545251,4.648760206,2.206290126,-0.353377848,-5.694255095,5.883382221,4.755618974,5.932774671,1.735793685,3.308208508,25.73526067,26.42055696
6,Cedar Rapids,IA,41.978122,-91.669808,10553390,10455043,11234309,12254472,12857814,12792268,13929540,13900976,14433863,15390555,15830796,15797948,15473029,16226368,16794211,16934705,16790507,17255840,6702450,-0.931899608,7.453493974,9.080781025,4.923443458,-0.509775612,8.890307802,-0.205060612,3.833450256,6.628107805,2.860462147,-0.207494304,-2.05671648,4.868723506,3.499507715,0.836562075,-0.851494018,2.771405295,50.88380442,63.5099243
34,Peoria,IL,40.694592,-89.590362,17304770,17174131,17464307,18103069,18989789,20533844,21547957,21832548,21213428,22787199,25395488,27865761,25118508,25244746,23781552,22570107,22012933,22889895,5585125,-0.754930577,1.689610962,3.657528466,4.898175,8.13097502,4.938739186,1.320733098,-2.835766123,7.418749106,11.44629052,9.727212172,-9.858883811,0.502569659,-5.796033757,-5.094053576,-2.468636945,3.983848949,30.90612735,32.27506058
21,Fort Wayne,IN,41.077474,-85.137495,15388956,15646958,16193959,16642202,17099279,17703122,18177658,17348308,16130649,16559301,16886132,17822333,17792801,19163956,19979691,20106849,20292855,20926252,5537296,1.676539981,3.495893579,2.767964276,2.746493523,3.531394511,2.680521549,-4.562468939,-7.018891986,2.65737603,1.97370046,5.544200413,-0.165702212,7.706234673,4.256610691,0.636436269,0.925087765,3.121280865,31.97267145,35.98227196
19,Fargo,ND,46.87696,-96.784636,7810580,8313433,8732610,9051027,9330347,9639428,9963769,10248748,10012416,10415805,10974092,11902375,12100336,12631802,12735939,12667457,12667707,13036357,5225777,6.438100628,5.042164891,3.646298186,3.086058632,3.31264207,3.364732845,2.860152619,-2.305959713,4.028887733,5.359998579,8.458859284,1.663205873,4.392159028,0.824403359,-0.537706721,0.001973561,2.910155721,52.54612657,66.90638851
1,Akron,OH,41.084821,-81.515607,27841099,29055437,29817293,30430372,31081544,31151400,31595473,31540576,29505000,30124290,30348492,30394149,30782127,31632884,32080122,32113046,32374943,32912839,5071740,4.361674085,2.622077238,2.056118911,2.139875254,0.22475074,1.425531437,-0.173749575,-6.453832676,2.098932384,0.744256545,0.150442401,1.276489103,2.763801865,1.413838839,0.102630532,0.815547052,1.661457751,17.22984189,18.21673778
23,Green Bay,WI,44.513288,-88.013256,13963139,14225656,14710215,15172590,15502459,15774236,15893635,15822068,15288836,16020371,16242104,16587219,16354483,17267329,17748246,18226952,18271480,18584854,4621715,1.880071523,3.406233076,3.143223943,2.174111342,1.753121876,0.756924139,-0.450287175,-3.370178917,4.784765825,1.384069071,2.12481708,-1.403104402,5.58162554,2.785126756,2.69720174,0.244297565,1.71509916,29.20711814,33.09939835
17,Elkhart,IN,41.687381,-85.973536,7863219,8457392,9298688,9823557,10490183,11128452,11200098,9696318,7311006,9070640,8971031,9218193,9573267,10168793,10329039,10767472,11979393,12038611,4175392,7.55635828,9.94746371,5.644548994,6.785994116,6.084441044,0.64380922,-13.42648966,-24.60018329,24.06828828,-1.09814743,2.755112539,3.851882902,6.220718591,1.575860577,4.244664,11.25539031,0.494332225,52.00404441,53.10028883
29,Lincoln,NE,40.813599,-96.70261,13143974,13267011,13812089,13954172,14455369,14763021,15031777,14527843,14191151,14660135,14929445,15228181,15474740,15725554,16161213,16359050,17029139,17243457,4099483,0.936071541,4.108521505,1.028685813,3.591735862,2.128288804,1.820467505,-3.35245793,-2.317563592,3.304763652,1.837022647,2.000985301,1.619096857,1.620796214,2.770388884,1.224146975,4.096136389,1.258536911,27.67562334,31.18906809
41,Springfield,MO,37.209,-93.2923,14004580,14294419,14857422,15535342,16175991,16365823,16471161,16585282,16218957,16149091,15899597,15915167,15848833,16331030,17159278,17326947,17629924,18040656,4036076,2.069601516,3.93862108,4.562837348,4.123816521,1.173541701,0.643646213,0.692853406,-2.208735432,-0.430767527,-1.544941446,0.09792701,-0.416797386,3.042476377,5.071621325,0.977133187,1.748588485,2.329743452,25.87116583,28.81968613
5,Canton,OH,40.7989,-81.3784,14602991,14901231,14909597,15158871,15417745,15153927,14872165,14860937,13898706,14361383,15449664,15136412,16262715,17785916,18170205,18021271,18134746,18391465,3788474,2.04232133,0.056143013,1.671903003,1.707739316,-1.711132205,-1.859333228,-0.075496742,-6.47490128,3.328921412,7.577828681,-2.02756513,7.441017065,9.366215912,2.16063654,-0.819660538,0.629672569,1.415619496,24.42992921,25.94313727
12,Davenport,IA,41.523527,-90.577036,16838187,16681995,17167445,18055407,18374223,18729453,19138739,19436939,18626849,19110819,19811996,20357070,19966778,20100564,20265104,20113727,20339874,20546922,3708735,-0.927605805,2.910023651,5.172359661,1.765764682,1.933306241,2.185253355,1.558096382,-4.167785884,2.598238704,3.669005499,2.751232132,-1.917230721,0.670043008,0.818583996,-0.746983583,1.1243416,1.017941409,20.41458433,22.02573828
44,Toledo,OH,41.655298,-83.535717,31327082,31868737,32114692,32376375,33176925,33578125,33080096,31799591,30513566,31341991,32607851,31774294,32884633,35431105,33936757,33689424,34029973,34845826,3518744,1.72903113,0.771775173,0.814838891,2.472636297,1.209274217,-1.483194788,-3.870922866,-4.044155788,2.714939971,4.038862751,-2.556307682,3.494456871,7.743653396,-4.217616131,-0.728805643,1.01084839,2.39745415,11.49676834,11.232275
13,Dayton,OH,39.760982,-84.192203,35369766,36417417,36968207,37963400,38147110,38097622,37027253,36237339,34166468,34885290,35974194,35871599,36256763,36711850,36976537,37279694,37959200,38696669,3326903,2.961995847,1.512435657,2.692023987,0.483913453,-0.129729356,-2.809542811,-2.13333136,-5.714743569,2.103881502,3.1213844,-0.285190545,1.073729666,1.255178241,0.720985186,0.819863147,1.822724189,1.942793842,9.438371476,9.40606449
16,Duluth,MN,46.782882,-92.105457,11156359,11532375,11663775,12099927,12179374,12385211,12347113,12653536,12013003,13275463,13746076,13189296,13867298,13913989,12585002,13308590,13587347,14265083,3108724,3.370418611,1.139401034,3.739372544,0.656590738,1.69004581,-0.307608809,2.481738039,-5.062086993,10.5091125,3.544983704,-4.05046502,5.140547304,0.336698613,-9.551444952,5.749605761,2.094564488,4.987993609,26.46946698,27.86504092
2,Ann Arbor,MI,42.281419,-83.748478,19122553,20141168,20304773,20049276,20471233,19952538,20208800,19240709,17869911,18495449,18752145,19228030,19285470,19446252,20096509,20688097,21313699,21963864,2841311,5.326773052,0.812291522,-1.258310054,2.104599687,-2.533775078,1.28435791,-4.790442777,-7.124467191,3.500509879,1.387887366,2.537763013,0.298730551,0.833695005,3.343868011,2.943735153,3.02397074,3.050455953,14.74164274,14.85842921
27,Lafayette,IN,40.4167,-86.8753,7084262,7252561,7450999,7745181,7945431,8332144,8543637,8575876,7861246,8451301,8707299,8443959,8701571,8865097,8853870,9110813,9241476,9727016,2642754,2.375674417,2.736109355,3.948222245,2.585478635,4.867111677,2.538278263,0.377345152,-8.33302627,7.505871207,3.029095757,-3.024359219,3.050843804,1.879269847,-0.12664272,2.902041706,1.434153022,5.253922642,32.99938952,37.30457739
42,St. Cloud,MN,45.5579,-94.1632,7226699,7502179,7621565,7939671,8026939,8248320,8270836,8450521,8238339,8315338,8605110,8387601,8527555,8900516,9013681,9246137,9473689,9522149,2295450,3.811975565,1.591350993,4.173762213,1.099138743,2.757975363,0.2729768,2.172513153,-2.510874773,0.934642287,3.484789193,-2.527672511,1.668581994,4.373598294,1.271443139,2.578924193,2.461049409,0.511521964,28.12569602,31.7634649
3,Appleton,WI,44.261982,-88.40724,9619180,9611496,9884448,10242240,10519544,10574619,10697845,10524829,10267554,10437458,10705334,10906039,10688450,10869120,11164626,11428497,11548960,11806167,2186987,-0.079882069,2.83984928,3.619746899,2.707454619,0.52354931,1.165299667,-1.617297689,-2.444457767,1.654766072,2.566486974,1.87481306,-1.995123986,1.690329281,2.718766561,2.363455793,1.054058115,2.227100968,20.86891509,22.73569057
7,Champaign,IL,40.116328,-88.243522,8664471,8992412,9019418,9118605,9172232,9454056,9712819,10016652,9953481,10330251,10388887,10437119,10727065,10822986,10870433,10509639,10435942,10833954,2169483,3.784893504,0.30031987,1.099705103,0.588105308,3.07257819,2.737058042,3.128164954,-0.630659825,3.785308878,0.567614475,0.464265325,2.778027155,0.894196129,0.438391032,-3.319039821,-0.701232459,3.813857915,22.80155377,25.03883965
39,South Bend,IN,41.675032,-86.251962,11646902,11962634,12441076,12757144,12772659,12953339,13041309,12709897,11526436,12272764,12389665,12504835,12574195,12940200,12982285,12974978,13096715,13576257,1929355,2.710866804,3.999470351,2.540519807,0.12161813,1.414584074,0.679129914,-2.541247968,-9.311334309,6.474924252,0.952523816,0.929565085,0.554665455,2.910762876,0.325226813,-0.056284391,0.938244365,3.661544135,16.30477921,16.56539224
36,Rockford,IL,42.266802,-89.088377,12985196,13243329,13370508,13703530,14050983,14872062,15235809,14865845,13779554,13939544,14432520,14515295,14196492,14337200,14182983,14160840,14251552,14788731,1803535,1.987902223,0.960325006,2.490720622,2.535499977,5.843569806,2.445841068,-2.428253071,-7.307294002,1.161068058,3.536528885,0.573531164,-2.196324635,0.991146263,-1.075642385,-0.156123715,0.640583468,3.769266674,13.77234541,13.8891627
25,Kalamazoo,MI,42.289777,-85.584682,10778300,11458326,11422910,11407043,11327984,11210058,11381088,10970579,10671844,10798629,10730816,10759305,10995659,11102042,11482438,11868155,12087272,12530386,1752086,6.309213883,-0.309085289,-0.13890506,-0.693071815,-1.041014888,1.525683453,-3.606939864,-2.723055912,1.188032734,-0.627977866,0.265487732,2.196740403,0.967499992,3.426360664,3.359190792,1.846260013,3.665955395,15.61037437,16.25568039
4,Bloomington,IN,39.166587,-86.534893,4973674,5118462,5266581,5400780,5618761,5745038,5614251,5638497,5607424,5688027,5756597,5785546,5886446,6115110,6085872,6200353,6420432,6546302,1572628,2.911087458,2.893818495,2.548123726,4.036102193,2.24741718,-2.27652106,0.431865266,-0.551086575,1.437433659,1.205514671,0.502883909,1.744001344,3.884585028,-0.478127131,1.881094443,3.5494592,1.960459982,27.92811179,31.61904057
18,Evansville,IN,37.975708,-87.569907,14549707,15400140,15847856,16424982,15958905,15573942,15487765,15999873,15386870,15914640,16450872,16350098,16124532,15805121,15664137,15614015,15856790,15955374,1405667,5.845018047,2.907220324,3.641666103,-2.837610416,-2.412214372,-0.553340959,3.306532608,-3.831299161,3.430002333,3.369425887,-0.612575431,-1.379600294,-1.980900903,-0.892014683,-0.319979326,1.554853124,0.621714735,9.856897619,9.661136131
28,Lansing,MI,42.733625,-84.553927,21199388,21763864,22008220,21930021,22405036,22504024,22548618,21027953,19782798,20916226,20643454,20315806,20126647,20536869,21159965,21672907,21810294,22247293,1047905,2.662699508,1.122760186,-0.355317241,2.166048997,0.441811386,0.198160116,-6.743938808,-5.92142754,5.729361438,-1.304116718,-1.587176255,-0.931092766,2.038203383,3.034036006,2.424115541,0.63391127,2.003636448,5.611674952,4.94309081
40,Springfield,IL,39.79936,-89.643624,9914968,10078892,9808583,9787486,9743809,10050065,10108289,10033240,10087624,10340728,10384825,10158028,10235053,10335442,10486423,10297499,10377290,10860798,945830,1.653298326,-2.681931704,-0.215087133,-0.446253512,3.143082957,0.579339537,-0.742450082,0.542038265,2.509054659,0.426439995,-2.183927028,0.758267254,0.980835175,1.460808352,-1.801605753,0.77485805,4.65928966,9.416057019,9.539415558
45,Topeka,KS,39.050976,-95.670433,9211142,9287291,9267606,9374011,9303858,9113570,9503690,9716902,9523075,9511910,9824532,9947394,9788390,9777510,9739210,9881513,9849673,10065715,854573,0.82670531,-0.211956318,1.148139012,-0.748377616,-2.045259074,4.280649625,2.243465433,-1.994740711,-0.117241542,3.286637489,1.250563386,-1.5984488,-0.111152089,-0.391715273,1.461134938,-0.322217863,2.193392613,9.149578521,9.277600975
35,Racine,WI,42.726126,-87.789462,7921091,7937627,8135289,8446218,8400492,8723928,8471704,8203374,7890081,8280083,8131346,8049836,7906278,7992639,7958049,8059225,8206941,8450197,529106,0.208759122,2.490190078,3.821978543,-0.541378402,3.85020306,-2.891174709,-3.16736751,-3.819074932,4.942940383,-1.796322573,-1.002417066,-1.783365524,1.092309175,-0.432773205,1.271366889,1.832880953,2.964027644,7.040781926,6.679711166
37,Saginaw,MI,43.419547,-83.946359,7702318,7876524,8185245,7960129,7999163,7932479,7741576,7281857,6840694,7314474,7444076,7448099,7536066,7601528,7741964,7929192,7943763,8120484,418166,2.261734714,3.919508149,-2.750265875,0.490368937,-0.833637219,-2.406599501,-5.938312819,-6.058385931,6.925905471,1.771856732,0.054042973,1.181066471,0.868649505,1.847470666,2.418352759,0.183763995,2.224650962,6.16016999,5.429092904
47,Youngstown,OH,41.100083,-80.649387,20240948,20982414,21143807,21601265,21885665,22025859,21480101,21085871,19011466,19634198,20403140,19955209,19987459,20243686,20254944,19866574,19799479,20089962,-150986,3.663197989,0.76918223,2.163555504,1.316589561,0.64057455,-2.477805746,-1.835326566,-9.837890974,3.275560128,3.916340255,-2.195402276,0.161611938,1.28193884,0.055612402,-1.917408411,-0.337728085,1.467124463,0.109725799,-0.745943322
20,Flint,MI,43.00992,-83.685109,13927608,14660373,15176084,15170838,15399716,15336283,15174470,13412454,12169356,12549079,12608343,12379126,12577166,12754993,13194798,13122491,13162959,13455676,-471932,5.261240839,3.517720866,-0.034567547,1.50867078,-0.411910194,-1.055099205,-11.61171362,-9.268236819,3.12032124,0.472257765,-1.817978778,1.59978984,1.413887675,3.448100677,-0.547996263,0.308386571,2.223793298,-1.873332878,-3.388464121
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO SOME NUMBER CRUNCHING AND DISCUSS IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
